performance_range,competency_range,attitude_range,class_name
1-1,1-1,1-1,전설적인 슈퍼스타
1-2,1-2,1-2,핵심 인재 (S급 리더)
1-2,1-3,3-5,성과 중심 솔로 플레이어
1-2,3-5,1-2,실전형 열정가
1-3,1-2,6-9,성과는 높으나 태도 개선 필요군
1-2,1-3,8-9,조직 위험 요소 에이스
1-3,6-9,1-2,성과 중심의 노력형 전문가
1-4,4-6,4-6,실무 중심의 안정적 기여 대상
2-4,5-7,1-3,성실한 협업 서포터
3-4,3-4,1-2,모범적인 성장 잠재주
3-5,1-2,1-2,역량·태도 우수 성과 대기만성형
3-5,3-5,3-5,무난한 중원 유지자 (B급 실무자)
3-5,6-9,3-5,역량 개발이 필요한 일반 직원
4-6,1-2,7-9,오만한 기술/전문 지식가
5-7,3-5,1-2,팀 내 긍정적 분위기 메이커
6-8,1-3,6-8,아이디어 중심의 분석가
6-8,6-8,3-5,역량·성과 정체 직원
6-9,1-2,1-2,성과 부진 잠재 핵심 인재
6-9,1-3,7-9,소극적인 기술 전문가
6-9,3-5,1-2,열정적 고군분투형
7-9,7-9,1-2,태도 우수 초급/적응 필요 인재
1-3,7-9,7-9,운·환경 의존형 고성과자
7-9,7-9,6-8,성과·역량 집중 개선 대상
8-9,8-9,8-9,재배치 및 집중 관리 대상
1-9,1-2,1-2,역량·태도 만점의 전천후 후보
